zone0 to zone0 µїАП°ж·О
zone0 to zone1 ГС 10єР, µµєё 9єР, єсїл 900їш
zone0 to zone950 ГС 1ЅГ°Ј 36єР, µµєё 7єР, єсїл 3,400їш
zone0 to zone951 ГС 1ЅГ°Ј 32єР, µµєё 10єР, єсїл 3,300їш
zone0 to zone952 ГС 1ЅГ°Ј 44єР, µµєё 10єР, єсїл 3,400їш
zone0 to zone953 ГС 1ЅГ°Ј 42єР, µµєё 6єР, єсїл 3,400їш
zone0 to zone954 ГС 1ЅГ°Ј 21єР, µµєё 10єР, єсїл 3,200їш
zone0 to zone955 ГС 1ЅГ°Ј 15єР, µµєё 9єР, єсїл 3,200їш
zone0 to zone956 ГС 1ЅГ°Ј 20єР, µµєё 7єР, єсїл 3,200їш
zone0 to zone957 ГС 1ЅГ°Ј 21єР, µµєё 12єР, єсїл 3,200їш
zone0 to zone958 ГС 1ЅГ°Ј 24єР, µµєё 4єР, єсїл 3,200їш
zone0 to zone959 ГС 1ЅГ°Ј 39єР, µµєё 16єР, єсїл 3,000їш
zone0 to zone960 ГС 1ЅГ°Ј 30єР, µµєё 10єР, єсїл 3,300їш
zone0 to zone961 ГС 1ЅГ°Ј 32єР, µµєё 14єР, єсїл 3,000їш
zone0 to zone962 ГС 1ЅГ°Ј 20єР, µµєё 16єР, єсїл 3,000їш
zone0 to zone963 ГС 1ЅГ°Ј 12єР, µµєё 8єР, єсїл 3,200їш
zone0 to zone964 ГС 1ЅГ°Ј 19єР, µµєё 8єР, єсїл 3,200їш
zone0 to zone965 ГС 1ЅГ°Ј 13єР, µµєё 16єР, єсїл 2,900їш
zone0 to zone966 ГС 1ЅГ°Ј 11єР, µµєё 10єР, єсїл 3,000їш
zone0 to zone967 ГС 1ЅГ°Ј 24єР, µµєё 7єР, єсїл 2,500їш
zone0 to zone968 ГС 1ЅГ°Ј 25єР, µµєё 6єР, єсїл 2,500їш
zone0 to zone969 ГС 1ЅГ°Ј 13єР, µµєё 8єР, єсїл 3,000їш
zone0 to zone970 ГС 1ЅГ°Ј 4єР, µµєё 16єР, єсїл 2,900їш
zone0 to zone971 ГС 1ЅГ°Ј 8єР, µµєё 5єР, єсїл 3,000їш
zone0 to zone972 ГС 1ЅГ°Ј 18єР, µµєё 5єР, єсїл 3,100їш
zone0 to zone973 ГС 1ЅГ°Ј 16єР, µµєё 7єР, єсїл 3,100їш
zone0 to zone974 ГС 1ЅГ°Ј 43єР, µµєё 17єР, єсїл 2,050їш
zone0 to zone975 ГС 1ЅГ°Ј 36єР, µµєё 26єР, єсїл 2,150їш
zone0 to zone976 ГС 1ЅГ°Ј 48єР, µµєё 26єР, єсїл 2,250їш
zone0 to zone977 ГС 1ЅГ°Ј 21єР, µµєё 5єР, єсїл 2,900їш
zone0 to zone978 ГС 2ЅГ°Ј 3єР, µµєё 10єР, єсїл 2,600їш
zone0 to zone979 ГС 1ЅГ°Ј 27єР, µµєё 17єР, єсїл 3,100їш
zone0 to zone980 ГС 1ЅГ°Ј 19єР, µµєё 7єР, єсїл 3,100їш
zone0 to zone981 ГС 1ЅГ°Ј 11єР, µµєё 8єР, єсїл 3,100їш
zone0 to zone982 ГС 3ЅГ°Ј 33єР, µµєё 1ЅГ°Ј 11єР, єсїл 3,300їш
zone0 to zone983 ГС 3ЅГ°Ј 6єР, µµєё 1ЅГ°Ј 9єР, єсїл 3,300їш
zone0 to zone984 ГС 3ЅГ°Ј 13єР, µµєё 1ЅГ°Ј 9єР, єсїл 3,400їш
zone0 to zone985 ГС 2ЅГ°Ј 19єР, µµєё 24єР, єсїл 2,450їш
zone0 to zone986 ГС 2ЅГ°Ј 8єР, µµєё 24єР, єсїл 2,450їш
zone0 to zone987 ГС 2ЅГ°Ј 24єР, µµєё 23єР, єсїл 3,300їш
zone0 to zone988 ГС 1ЅГ°Ј 33єР, µµєё 14єР, єсїл 1,950їш
zone0 to zone989 ГС 1ЅГ°Ј 45єР, µµєё 17єР, єсїл 3,400їш
zone0 to zone990 ГС 1ЅГ°Ј 30єР, µµєё 27єР, єсїл 1,750їш
zone0 to zone991 ГС 1ЅГ°Ј 45єР, µµєё 10єР, єсїл 2,050їш
zone0 to zone992 ГС 1ЅГ°Ј 27єР, µµєё 12єР, єсїл 1,850їш
zone0 to zone993 ГС 1ЅГ°Ј 34єР, µµєё 4єР, єсїл 3,000їш
zone0 to zone994 °б°ъѕшАЅ
zone0 to zone995 ГС 2ЅГ°Ј 50єР, µµєё 41єР, єсїл 3,900їш
zone0 to zone996 ГС 3ЅГ°Ј 30єР, µµєё 30єР, єсїл 3,900їш
zone0 to zone997 ГС 2ЅГ°Ј 12єР, µµєё 19єР, єсїл 3,200їш
zone0 to zone998 ГС 1ЅГ°Ј 49єР, µµєё 32єР, єсїл 2,900їш
zone0 to zone999 ГС 9ЅГ°Ј 46єР, µµєё 36єР, єсїл 8,600їш
zone0 to zone1000 ГС 2ЅГ°Ј 32єР, µµєё 49єР, єсїл 3,200їш
zone0 to zone1001 ГС 2ЅГ°Ј 22єР, µµєё 38єР, єсїл 3,700їш
zone0 to zone1002 ГС 9ЅГ°Ј 55єР, µµєё 51єР, єсїл 8,750їш
zone0 to zone1003 ГС 2ЅГ°Ј 14єР, µµєё 16єР, єсїл 3,300їш
zone0 to zone1004 ГС 2ЅГ°Ј 2єР, µµєё 15єР, єсїл 3,200їш
zone0 to zone1005 ГС 2ЅГ°Ј 4єР, µµєё 19єР, єсїл 3,500їш
zone0 to zone1006 ГС 1ЅГ°Ј 59єР, µµєё 17єР, єсїл 3,100їш
zone0 to zone1007 ГС 1ЅГ°Ј 54єР, µµєё 15єР, єсїл 3,500їш
zone0 to zone1008 °б°ъѕшАЅ
zone0 to zone1009 °б°ъѕшАЅ
zone0 to zone1010 ГС 3ЅГ°Ј 2єР, µµєё 1ЅГ°Ј 19єР, єсїл 3,700їш
zone0 to zone1011 °б°ъѕшАЅ
zone0 to zone1012 °б°ъѕшАЅ
zone0 to zone1013 °б°ъѕшАЅ
zone0 to zone1014 °б°ъѕшАЅ
zone0 to zone1015 °б°ъѕшАЅ
zone0 to zone1016 °б°ъѕшАЅ
zone0 to zone1017 ГС 9ЅГ°Ј 42єР, µµєё 46єР, єсїл 2,950їш
zone0 to zone1018 °б°ъѕшАЅ
zone0 to zone1019 °б°ъѕшАЅ
zone0 to zone1020 °б°ъѕшАЅ
zone0 to zone1021 °б°ъѕшАЅ
zone0 to zone1022 °б°ъѕшАЅ
zone0 to zone1023 ГС 1ЅГ°Ј 34єР, µµєё 10єР, єсїл 3,200їш
zone0 to zone1024 ГС 1ЅГ°Ј 34єР, µµєё 9єР, єсїл 3,100їш
zone0 to zone1025 ГС 1ЅГ°Ј 42єР, µµєё 9єР, єсїл 3,200їш
zone0 to zone1026 ГС 1ЅГ°Ј 45єР, µµєё 8єР, єсїл 3,200їш
zone0 to zone1027 ГС 1ЅГ°Ј 47єР, µµєё 14єР, єсїл 3,300їш
zone0 to zone1028 ГС 1ЅГ°Ј 13єР, µµєё 8єР, єсїл 2,800їш
zone0 to zone1029 ГС 1ЅГ°Ј 33єР, µµєё 12єР, єсїл 2,900їш
zone0 to zone1030 ГС 1ЅГ°Ј 30єР, µµєё 13єР, єсїл 2,900їш
zone0 to zone1031 ГС 1ЅГ°Ј 28єР, µµєё 7єР, єсїл 2,900їш
zone0 to zone1032 ГС 1ЅГ°Ј 27єР, µµєё 15єР, єсїл 3,000їш
zone0 to zone1033 ГС 1ЅГ°Ј 31єР, µµєё 7єР, єсїл 3,100їш
zone0 to zone1034 ГС 1ЅГ°Ј 26єР, µµєё 21єР, єсїл 2,800їш
zone0 to zone1035 ГС 1ЅГ°Ј 15єР, µµєё 13єР, єсїл 3,000їш
zone0 to zone1036 ГС 1ЅГ°Ј 18єР, µµєё 14єР, єсїл 3,100їш
zone0 to zone1037 ГС 1ЅГ°Ј 29єР, µµєё 17єР, єсїл 3,200їш
zone0 to zone1038 ГС 1ЅГ°Ј 32єР, µµєё 15єР, єсїл 3,300їш
zone0 to zone1039 ГС 2ЅГ°Ј 8єР, µµєё 26єР, єсїл 3,600їш
zone0 to zone1040 ГС 1ЅГ°Ј 57єР, µµєё 29єР, єсїл 3,300їш
zone0 to zone1041 ГС 2ЅГ°Ј 11єР, µµєё 29єР, єсїл 3,600їш
zone0 to zone1042 ГС 1ЅГ°Ј 37єР, µµєё 16єР, єсїл 3,400їш
zone0 to zone1043 ГС 2ЅГ°Ј 24єР, µµєё 11єР, єсїл 2,650їш
zone0 to zone1044 ГС 2ЅГ°Ј 1єР, µµєё 5єР, єсїл 3,600їш
zone0 to zone1045 ГС 1ЅГ°Ј 42єР, µµєё 23єР, єсїл 3,500їш
zone0 to zone1046 ГС 1ЅГ°Ј 57єР, µµєё 20єР, єсїл 3,500їш
zone0 to zone1047 ГС 2ЅГ°Ј 2єР, µµєё 21єР, єсїл 3,600їш
zone0 to zone1048 ГС 2ЅГ°Ј 15єР, µµєё 27єР, єсїл 3,700їш
zone0 to zone1049 ГС 1ЅГ°Ј 32єР, µµєё 9єР, єсїл 3,300їш
zone0 to zone1050 ГС 1ЅГ°Ј 17єР, µµєё 13єР, єсїл 3,300їш
zone0 to zone1051 ГС 1ЅГ°Ј 17єР, µµєё 6єР, єсїл 3,300їш
zone0 to zone1052 ГС 1ЅГ°Ј 40єР, µµєё 13єР, єсїл 3,400їш
zone0 to zone1053 ГС 1ЅГ°Ј 16єР, µµєё 17єР, єсїл 3,200їш
zone0 to zone1054 ГС 1ЅГ°Ј 31єР, µµєё 11єР, єсїл 3,400їш
zone0 to zone1055 ГС 2ЅГ°Ј, µµєё 10єР, єсїл 2,250їш
zone0 to zone1056 ГС 1ЅГ°Ј 53єР, µµєё 9єР, єсїл 3,400їш
zone0 to zone1057 ГС 1ЅГ°Ј 30єР, µµєё 11єР, єсїл 3,300їш
zone0 to zone1058 ГС 1ЅГ°Ј 31єР, µµєё 9єР, єсїл 3,400їш
zone0 to zone1059 ГС 1ЅГ°Ј 29єР, µµєё 10єР, єсїл 3,300їш
zone0 to zone1060 ГС 1ЅГ°Ј 42єР, µµєё 8єР, єсїл 2,700їш
zone0 to zone1061 ГС 2ЅГ°Ј, µµєё 12єР, єсїл 2,800їш
zone0 to zone1062 ГС 1ЅГ°Ј 38єР, µµєё 34єР, єсїл 3,150їш
zone0 to zone1063 ГС 9ЅГ°Ј 2єР, µµєё 47єР, єсїл 3,500їш
zone0 to zone1064 ГС 1ЅГ°Ј 55єР, µµєё 19єР, єсїл 2,150їш
zone0 to zone1065 ГС 2ЅГ°Ј 37єР, µµєё 1ЅГ°Ј 1єР, єсїл 2,150їш
zone0 to zone1066 ГС 2ЅГ°Ј 12єР, µµєё 57єР, єсїл 1,950їш
zone0 to zone1067 ГС 1ЅГ°Ј 35єР, µµєё 17єР, єсїл 3,100їш
zone0 to zone1068 ГС 1ЅГ°Ј 27єР, µµєё 19єР, єсїл 3,000їш
zone0 to zone1069 ГС 1ЅГ°Ј 34єР, µµєё 18єР, єсїл 2,500їш
zone0 to zone1070 ГС 1ЅГ°Ј 47єР, µµєё 32єР, єсїл 1,950їш
zone0 to zone1071 ГС 1ЅГ°Ј 19єР, µµєё 7єР, єсїл 2,300їш
zone0 to zone1072 ГС 2ЅГ°Ј 25єР, µµєё 31єР, єсїл 2,050їш
zone0 to zone1073 ГС 2ЅГ°Ј 29єР, µµєё 23єР, єсїл 2,250їш
zone0 to zone1074 ГС 1ЅГ°Ј 46єР, µµєё 30єР, єсїл 1,950їш
zone0 to zone1075 ГС 1ЅГ°Ј 18єР, µµєё 12єР, єсїл 1,750їш
zone0 to zone1076 ГС 1ЅГ°Ј 37єР, µµєё 14єР, єсїл 1,850їш
zone0 to zone1077 ГС 1ЅГ°Ј 43єР, µµєё 23єР, єсїл 1,850їш
zone0 to zone1078 ГС 2ЅГ°Ј 8єР, µµєё 13єР, єсїл 3,200їш
zone0 to zone1079 ГС 2ЅГ°Ј 7єР, µµєё 10єР, єсїл 1,700їш
zone0 to zone1080 ГС 2ЅГ°Ј 22єР, µµєё 25єР, єсїл 2,050їш
zone0 to zone1081 ГС 1ЅГ°Ј 58єР, µµєё 18єР, єсїл 3,100їш
zone0 to zone1082 ГС 2ЅГ°Ј 45єР, µµєё 41єР, єсїл 3,300їш
zone0 to zone1083 ГС 2ЅГ°Ј 5єР, µµєё 17єР, єсїл 3,200їш
zone0 to zone1084 ГС 2ЅГ°Ј 16єР, µµєё 37єР, єсїл 2,150їш
zone0 to zone1085 ГС 8ЅГ°Ј 45єР, µµєё 1ЅГ°Ј, єсїл 3,350їш
zone0 to zone1086 ГС 2ЅГ°Ј 24єР, µµєё 32єР, єсїл 2,950їш
zone0 to zone1087 ГС 3ЅГ°Ј 6єР, µµєё 25єР, єсїл 3,600їш
zone0 to zone1088 ГС 3ЅГ°Ј 12єР, µµєё 23єР, єсїл 3,500їш
zone0 to zone1089 ГС 3ЅГ°Ј 1єР, µµєё 37єР, єсїл 3,250їш
zone0 to zone1090 ГС 3ЅГ°Ј 14єР, µµєё 35єР, єсїл 3,450їш
zone0 to zone1091 ГС 3ЅГ°Ј 44єР, µµєё 24єР, єсїл 3,700їш
zone0 to zone1092 ГС 10ЅГ°Ј, µµєё 52єР, єсїл 4,100їш
zone0 to zone1093 ГС 2ЅГ°Ј 13єР, µµєё 11єР, єсїл 3,300їш
zone0 to zone1094 ГС 2ЅГ°Ј 10єР, µµєё 25єР, єсїл 2,750їш
zone0 to zone1095 ГС 2ЅГ°Ј 9єР, µµєё 19єР, єсїл 3,400їш
zone0 to zone1096 ГС 2ЅГ°Ј 29єР, µµєё 39єР, єсїл 3,800їш
zone0 to zone1097 ГС 8ЅГ°Ј 59єР, µµєё 56єР, єсїл 3,900їш
zone0 to zone1098 ГС 8ЅГ°Ј 44єР, µµєё 35єР, єсїл 4,000їш
zone0 to zone1099 ГС 2ЅГ°Ј 53єР, µµєё 39єР, єсїл 4,000їш
zone0 to zone1100 ГС 9ЅГ°Ј 1єР, µµєё 35єР, єсїл 4,000їш
zone0 to zone1101 ГС 2ЅГ°Ј 24єР, µµєё 39єР, єсїл 3,800їш
zone0 to zone1102 ГС 2ЅГ°Ј 44єР, µµєё 34єР, єсїл 3,700їш
zone0 to zone1103 ГС 2ЅГ°Ј 29єР, µµєё 36єР, єсїл 3,500їш
zone0 to zone1104 ГС 2ЅГ°Ј 49єР, µµєё 35єР, єсїл 2,050їш
zone0 to zone1105 °б°ъѕшАЅ
zone0 to zone1106 ГС 2ЅГ°Ј 5єР, µµєё 29єР, єсїл 3,300їш
zone0 to zone1107 ГС 2ЅГ°Ј 57єР, µµєё 27єР, єсїл 2,550їш
zone0 to zone1108 ГС 2ЅГ°Ј 43єР, µµєё 26єР, єсїл 2,450їш
zone0 to zone1109 ГС 2ЅГ°Ј 21єР, µµєё 31єР, єсїл 3,300їш
zone0 to zone1110 ГС 9ЅГ°Ј 8єР, µµєё 53єР, єсїл 2,550їш
zone0 to zone1111 ГС 9ЅГ°Ј 40єР, µµєё 51єР, єсїл 2,650їш
zone0 to zone1112 ГС 8ЅГ°Ј 58єР, µµєё 1ЅГ°Ј 9єР, єсїл 2,550їш
zone0 to zone1113 ГС 10ЅГ°Ј 52єР, µµєё 1ЅГ°Ј 5єР, єсїл 2,750їш
zone0 to zone1114 ГС 8ЅГ°Ј 38єР, µµєё 55єР, єсїл 2,450їш
zone0 to zone1115 ГС 3ЅГ°Ј 19єР, µµєё 33єР, єсїл 3,800їш
zone0 to zone1116 ГС 10ЅГ°Ј 19єР, µµєё 52єР, єсїл 2,650їш
zone0 to zone1117 ГС 1ЅГ°Ј 37єР, µµєё 19єР, єсїл 6,000їш
zone0 to zone1118 ГС 3ЅГ°Ј 3єР, µµєё 9єР, єсїл 3,700їш
zone0 to zone1119 ГС 2ЅГ°Ј 42єР, µµєё 14єР, єсїл 3,600їш
zone0 to zone1120 ГС 1ЅГ°Ј 49єР, µµєё 29єР, єсїл 3,500їш
zone0 to zone1121 ГС 2ЅГ°Ј 21єР, µµєё 8єР, єсїл 3,300їш
zone0 to zone1122 ГС 2ЅГ°Ј 33єР, µµєё 8єР, єсїл 3,500їш
zone0 to zone1123 ГС 2ЅГ°Ј 12єР, µµєё 29єР, єсїл 1,350їш
zone0 to zone1124 ГС 1ЅГ°Ј 52єР, µµєё 52єР, єсїл 9,300їш
zone0 to zone1125 ГС 8ЅГ°Ј 56єР, µµєё 50єР, єсїл 3,500їш
zone0 to zone1126 ГС 1ЅГ°Ј 38єР, µµєё 19єР, єсїл 1,650їш
zone0 to zone1127 ГС 2ЅГ°Ј 4єР, µµєё 26єР, єсїл 1,650їш
zone0 to zone1128 ГС 5ЅГ°Ј 40єР, µµєё 3ЅГ°Ј 31єР, єсїл 2,350їш
zone0 to zone1129 ГС 2ЅГ°Ј 40єР, µµєё 32єР, єсїл 2,050їш
zone0 to zone1130 ГС 9ЅГ°Ј 39єР, µµєё 40єР, єсїл 2,350їш
zone0 to zone1131 ГС 2ЅГ°Ј 17єР, µµєё 23єР, єсїл 1,550їш
zone0 to zone1132 °б°ъѕшАЅ
zone0 to zone1133 ГС 1ЅГ°Ј 55єР, µµєё 42єР, єсїл 5,200їш
zone0 to zone1134 ГС 9ЅГ°Ј 32єР, µµєё 36єР, єсїл 11,050їш
zone0 to zone1135 ГС 3ЅГ°Ј 34єР, µµєё 29єР, єсїл 50,900їш
zone0 to zone1136 ГС 3ЅГ°Ј 37єР, µµєё 22єР, єсїл 50,900їш
zone0 to zone1137 ГС 3ЅГ°Ј 33єР, µµєё 27єР, єсїл 51,300їш
zone0 to zone1138 ГС 3ЅГ°Ј 51єР, µµєё 25єР, єсїл 50,900їш
zone0 to zone1139 ГС 3ЅГ°Ј 55єР, µµєё 23єР, єсїл 50,900їш
zone0 to zone1140 ГС 8ЅГ°Ј 30єР, µµєё 27єР, єсїл 54,600їш
zone0 to zone1141 ГС 3ЅГ°Ј 43єР, µµєё 27єР, єсїл 51,300їш
zone0 to zone1142 ГС 4ЅГ°Ј 50єР, µµєё 40єР, єсїл 51,600їш
zone0 to zone1143 ГС 4ЅГ°Ј 7єР, µµєё 22єР, єсїл 51,300їш
zone0 to zone1144 ГС 4ЅГ°Ј 1єР, µµєё 32єР, єсїл 51,600їш
zone0 to zone1145 ГС 7ЅГ°Ј 32єР, µµєё 41єР, єсїл 45,650їш
zone0 to zone1146 ГС 3ЅГ°Ј 37єР, µµєё 25єР, єсїл 54,700їш
zone0 to zone1147 ГС 4ЅГ°Ј 15єР, µµєё 23єР, єсїл 51,300їш
zone0 to zone1148 ГС 3ЅГ°Ј 50єР, µµєё 28єР, єсїл 51,300їш
zone0 to zone1149 ГС 4ЅГ°Ј 26єР, µµєё 37єР, єсїл 51,600їш
zone0 to zone1150 ГС 4ЅГ°Ј 47єР, µµєё 26єР, єсїл 51,300їш
zone0 to zone1151 ГС 2ЅГ°Ј 42єР, µµєё 23єР, єсїл 36,650їш
zone0 to zone1152 ГС 2ЅГ°Ј 35єР, µµєё 22єР, єсїл 36,650їш
zone0 to zone1153 ГС 3ЅГ°Ј 9єР, µµєё 27єР, єсїл 36,650їш
zone0 to zone1154 ГС 2ЅГ°Ј 57єР, µµєё 35єР, єсїл 36,650їш
zone0 to zone1155 ГС 2ЅГ°Ј 45єР, µµєё 20єР, єсїл 36,650їш
zone0 to zone1156 ГС 2ЅГ°Ј 58єР, µµєё 22єР, єсїл 36,650їш
zone0 to zone1157 ГС 3ЅГ°Ј 16єР, µµєё 31єР, єсїл 36,650їш
zone0 to zone1158 ГС 3ЅГ°Ј 32єР, µµєё 24єР, єсїл 36,650їш
zone0 to zone1159 ГС 3ЅГ°Ј 50єР, µµєё 30єР, єсїл 44,050їш
zone0 to zone1160 ГС 4ЅГ°Ј, µµєё 59єР, єсїл 44,050їш
zone0 to zone1161 °б°ъѕшАЅ
zone0 to zone1162 ГС 3ЅГ°Ј 59єР, µµєё 51єР, єсїл 44,050їш
zone0 to zone1163 ГС 2ЅГ°Ј 54єР, µµєё 35єР, єсїл 39,800їш
zone0 to zone1164 ГС 1ЅГ°Ј 43єР, µµєё 27єР, єсїл 18,100їш
zone0 to zone1165 ГС 1ЅГ°Ј 46єР, µµєё 20єР, єсїл 19,350їш
zone0 to zone1166 ГС 2ЅГ°Ј 2єР, µµєё 25єР, єсїл 19,350їш
zone0 to zone1167 ГС 2ЅГ°Ј 21єР, µµєё 39єР, єсїл 19,350їш
zone0 to zone1168 ГС 1ЅГ°Ј 54єР, µµєё 24єР, єсїл 19,350їш
zone0 to zone1169 °б°ъѕшАЅ
zone0 to zone1170 °б°ъѕшАЅ
zone0 to zone1171 °б°ъѕшАЅ
zone0 to zone1172 °б°ъѕшАЅ
zone0 to zone1173 ГС 11ЅГ°Ј 8єР, µµєё 33єР, єсїл 52,150їш
zone0 to zone1174 ГС 2ЅГ°Ј 48єР, µµєё 46єР, єсїл 9,400їш
zone0 to zone1175 ГС 2ЅГ°Ј 47єР, µµєё 36єР, єсїл 3,050їш
zone0 to zone1176 ГС 2ЅГ°Ј 46єР, µµєё 53єР, єсїл 13,750їш
zone0 to zone1177 ГС 4ЅГ°Ј 4єР, µµєё 35єР, єсїл 27,300їш
zone0 to zone1178 ГС 4ЅГ°Ј 21єР, µµєё 50єР, єсїл 32,650їш
zone0 to zone1179 ГС 4ЅГ°Ј 48єР, µµєё 45єР, єсїл 36,450їш
zone0 to zone1180 ГС 3ЅГ°Ј 17єР, µµєё 34єР, єсїл 22,950їш
zone0 to zone1181 ГС 4ЅГ°Ј 41єР, µµєё 45єР, єсїл 33,750їш
zone0 to zone1182 ГС 2ЅГ°Ј 35єР, µµєё 42єР, єсїл 8,750їш
zone0 to zone1183 °б°ъѕшАЅ
zone0 to zone1184 ГС 3ЅГ°Ј 42єР, µµєё 31єР, єсїл 14,400їш
zone0 to zone1185 ГС 3ЅГ°Ј 59єР, µµєё 45єР, єсїл 16,450їш
zone0 to zone1186 °б°ъѕшАЅ
zone0 to zone1187 ГС 4ЅГ°Ј 25єР, µµєё 35єР, єсїл 17,950їш
zone0 to zone1188 ГС 3ЅГ°Ј 3єР, µµєё 35єР, єсїл 21,250їш
zone0 to zone1189 ГС 2ЅГ°Ј 47єР, µµєё 29єР, єсїл 11,400їш
zone0 to zone1190 ГС 3ЅГ°Ј 49єР, µµєё 50єР, єсїл 8,250їш
zone0 to zone1191 ГС 3ЅГ°Ј 38єР, µµєё 39єР, єсїл 15,250їш
zone0 to zone1192 °б°ъѕшАЅ
zone0 to zone1193 ГС 3ЅГ°Ј 13єР, µµєё 59єР, єсїл 14,550їш
zone0 to zone1194 ГС 2ЅГ°Ј 28єР, µµєё 47єР, єсїл 16,600їш
zone0 to zone1195 °б°ъѕшАЅ
zone0 to zone1196 °б°ъѕшАЅ
zone0 to zone1197 °б°ъѕшАЅ
zone0 to zone1198 ГС 2ЅГ°Ј 33єР, µµєё 27єР, єсїл 10,450їш
zone0 to zone1199 °б°ъѕшАЅ
zone0 to zone1200 ГС 2ЅГ°Ј 27єР, µµєё 30єР, єсїл 19,350їш
zone0 to zone1201 ГС 11ЅГ°Ј 17єР, µµєё 44єР, єсїл 52,100їш
zone0 to zone1202 °б°ъѕшАЅ
zone0 to zone1203 °б°ъѕшАЅ
zone0 to zone1204 ГС 2ЅГ°Ј 35єР, µµєё 34єР, єсїл 11,150їш
zone0 to zone1205 °б°ъѕшАЅ
zone0 to zone1206 °б°ъѕшАЅ
zone0 to zone1207 ГС 2ЅГ°Ј 36єР, µµєё 16єР, єсїл 3,050їш
zone0 to zone1208 °б°ъѕшАЅ
zone0 to zone1209 °б°ъѕшАЅ
zone0 to zone1210 °б°ъѕшАЅ
zone0 to zone1211 ГС 3ЅГ°Ј 5єР, µµєё 29єР, єсїл 3,350їш
zone0 to zone1212 ГС 2ЅГ°Ј 52єР, µµєё 41єР, єсїл 13,950їш
zone0 to zone1213 °б°ъѕшАЅ
zone0 to zone1214 °б°ъѕшАЅ
zone0 to zone1215 ГС 2ЅГ°Ј 56єР, µµєё 55єР, єсїл 11,650їш
zone0 to zone1216 °б°ъѕшАЅ
zone0 to zone1217 ГС 3ЅГ°Ј 11єР, µµєё 30єР, єсїл 18,450їш
zone0 to zone1218 ГС 3ЅГ°Ј 19єР, µµєё 32єР, єсїл 15,850їш
zone0 to zone1219 ГС 3ЅГ°Ј 20єР, µµєё 35єР, єсїл 12,200їш
zone0 to zone1220 °б°ъѕшАЅ
zone0 to zone1221 ГС 3ЅГ°Ј 13єР, µµєё 58єР, єсїл 9,500їш
zone0 to zone1222 °б°ъѕшАЅ
zone0 to zone1223 °б°ъѕшАЅ
zone0 to zone1224 ГС 3ЅГ°Ј 50єР, µµєё 44єР, єсїл 23,450їш
zone0 to zone1225 °б°ъѕшАЅ
zone0 to zone1226 ГС 2ЅГ°Ј 7єР, µµєё 34єР, єсїл 31,850їш
zone0 to zone1227 ГС 2ЅГ°Ј 54єР, µµєё 47єР, єсїл 35,450їш
zone0 to zone1228 ГС 4ЅГ°Ј 17єР, µµєё 45єР, єсїл 29,050їш
zone0 to zone1229 °б°ъѕшАЅ
zone0 to zone1230 °б°ъѕшАЅ
zone0 to zone1231 °б°ъѕшАЅ
zone0 to zone1232 ГС 3ЅГ°Ј 26єР, µµєё 31єР, єсїл 21,150їш
zone0 to zone1233 °б°ъѕшАЅ
zone0 to zone1234 ГС 3ЅГ°Ј 11єР, µµєё 32єР, єсїл 41,650їш
zone0 to zone1235 °б°ъѕшАЅ
zone0 to zone1236 ГС 4ЅГ°Ј 12єР, µµєё 31єР, єсїл 23,700їш
zone0 to zone1237 °б°ъѕшАЅ
zone0 to zone1238 °б°ъѕшАЅ
zone0 to zone1239 ГС 3ЅГ°Ј 30єР, µµєё 29єР, єсїл 46,450їш
zone0 to zone1240 ГС 4ЅГ°Ј 43єР, µµєё 36єР, єсїл 35,150їш
zone0 to zone1241 ГС 3ЅГ°Ј 10єР, µµєё 41єР, єсїл 41,300їш
zone0 to zone1242 ГС 5ЅГ°Ј 20єР, µµєё 28єР, єсїл 38,750їш
zone0 to zone1243 °б°ъѕшАЅ
zone0 to zone1244 ГС 5ЅГ°Ј 32єР, µµєё 1ЅГ°Ј, єсїл 23,400їш
zone0 to zone1245 °б°ъѕшАЅ
zone0 to zone1246 °б°ъѕшАЅ
zone0 to zone1247 ГС 10ЅГ°Ј 10єР, µµєё 49єР, єсїл 30,000їш
zone0 to zone1248 ГС 4ЅГ°Ј 10єР, µµєё 51єР, єсїл 41,050їш
zone0 to zone1249 °б°ъѕшАЅ
zone0 to zone1250 ГС 5ЅГ°Ј 57єР, µµєё 27єР, єсїл 37,100їш
zone0 to zone1251 °б°ъѕшАЅ
zone0 to zone1252 ГС 5ЅГ°Ј 25єР, µµєё 35єР, єсїл 35,600їш
zone0 to zone1253 ГС 4ЅГ°Ј 49єР, µµєё 31єР, єсїл 31,600їш
zone0 to zone1254 °б°ъѕшАЅ
zone0 to zone1255 ГС 4ЅГ°Ј 41єР, µµєё 45єР, єсїл 31,950їш
zone0 to zone1256 ГС 2ЅГ°Ј 49єР, µµєё 32єР, єсїл 39,150їш
zone0 to zone1257 °б°ъѕшАЅ
zone0 to zone1258 °б°ъѕшАЅ
zone0 to zone1259 °б°ъѕшАЅ
zone0 to zone1260 °б°ъѕшАЅ
zone0 to zone1261 °б°ъѕшАЅ
zone0 to zone1262 °б°ъѕшАЅ
zone0 to zone1263 °б°ъѕшАЅ
zone0 to zone1264 ГС 3ЅГ°Ј 8єР, µµєё 47єР, єсїл 26,350їш
zone0 to zone1265 ГС 4ЅГ°Ј 2єР, µµєё 41єР, єсїл 25,550їш
